Rank,Year,Movie,Worldwide Gross Sales,Images,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
1,2019,Avengers: Endgame,"$2,797,800,564",[url=https://imgur.com/RAZf7V6][img]http://i.imgur.com/RAZf7V6.png[/img][/url],,,,,,,,,
2,2009,Avatar,"$2,789,705,275",[url=https://imgur.com/5Uv2svr][img]http://i.imgur.com/5Uv2svr.png[/img][/url],,,,,,,,,
3,1997,Titanic,"$2,208,208,395",[url=https://imgur.com/jHcfk04][img]http://i.imgur.com/jHcfk04.png[/img][/url],,,,,,,,,
4,2015,Star Wars Ep. VII: The Force Awakens,"$2,068,223,624",[url=https://imgur.com/cYX3OrU][img]http://i.imgur.com/cYX3OrU.png[/img][/url],,,,,,,,,
5,2018,Avengers: Infinity War,"$2,048,359,754",[url=https://imgur.com/xpbzQgT][img]http://i.imgur.com/xpbzQgT.png[/img][/url],,,,,,,,,
6,2019,The Lion King,"$1,656,313,097",[url=https://imgur.com/fcB2rhd][img]http://i.imgur.com/fcB2rhd.png[/img][/url],,,,,,,,,
7,2015,Jurassic World,"$1,648,854,864",[url=https://imgur.com/el2FWfx][img]http://i.imgur.com/el2FWfx.png[/img][/url],,,,,,,,,
8,2012,The Avengers,"$1,518,812,988",[url=https://imgur.com/LKq6GKt][img]http://i.imgur.com/LKq6GKt.png[/img][/url],,,,,,,,,
9,2015,Fast and Furious 7,"$1,518,722,794",[url=https://imgur.com/A4xRNI2][img]http://i.imgur.com/A4xRNI2.png[/img][/url],,,,,,,,,
10,2015,Avengers: Age of Ultron,"$1,403,013,963",[url=https://imgur.com/ruYMk5M][img]http://i.imgur.com/ruYMk5M.png[/img][/url],,,,,,,,,
11,2018,Black Panther,"$1,346,913,161",[url=https://imgur.com/kK6XyIk][img]http://i.imgur.com/kK6XyIk.png[/img][/url],,,,,,,,,
12,2011,Harry Potter and the Deathly Hallows:…,"$1,341,693,157",[url=https://imgur.com/kHCkOdk][img]http://i.imgur.com/kHCkOdk.png[/img][/url],,,,,,,,,
13,2017,Star Wars Ep. VIII: The Last Jedi,"$1,332,539,889",[url=https://imgur.com/GyZvZsM][img]http://i.imgur.com/GyZvZsM.png[/img][/url],,,,,,,,,
14,2019,Frozen II,"$1,326,450,541",[url=https://imgur.com/wuCyhQI][img]http://i.imgur.com/wuCyhQI.png[/img][/url],,,,,,,,,
15,2018,Jurassic World: Fallen Kingdom,"$1,308,470,988",[url=https://imgur.com/SfYcJHK][img]http://i.imgur.com/SfYcJHK.png[/img][/url],,,,,,,,,
16,2013,Frozen,"$1,272,446,886",[url=https://imgur.com/D1jvtVs][img]http://i.imgur.com/D1jvtVs.png[/img][/url],,,,,,,,,
17,2017,Beauty and the Beast,"$1,263,521,126",[url=https://imgur.com/OSrkwkU][img]http://i.imgur.com/OSrkwkU.png[/img][/url],,,,,,,,,
